id,movie_id,genre_id
0,335787,28
1,335787,12
2,414906,80
3,414906,9648
4,414906,53
5,453395,14
6,453395,28
7,453395,12
8,628900,28
9,628900,53
10,634649,28
11,634649,12
12,634649,878
13,508947,16
14,508947,10751
15,508947,35
16,508947,14
17,406759,878
18,406759,12
19,406759,28
20,284052,28
21,284052,12
22,284052,14
23,284052,878
24,752623,28
25,752623,12
26,752623,35
27,752623,10749
28,763285,28
29,763285,53
30,763285,80
31,526896,28
32,526896,878
33,526896,14
34,568124,16
35,568124,35
36,568124,10751
37,568124,14
38,606402,28
39,585083,16
40,585083,10751
41,585083,14
42,585083,35
43,585083,12
44,696806,28
45,696806,12
46,696806,35
47,696806,878
48,338953,28
49,338953,12
50,338953,14
51,580489,878
52,580489,28
53,580489,12
54,823625,28
55,823625,53
56,635302,16
57,635302,28
58,635302,12
59,635302,14
60,438695,16
61,438695,35
62,438695,10751
63,438695,10402
64,524434,878
65,524434,28
66,524434,12
67,566525,28
68,566525,12
69,566525,14
70,566525,878
71,19995,28
72,19995,12
73,19995,14
74,19995,878
75,454626,28
76,454626,878
77,454626,35
78,454626,10751
79,476669,28
80,476669,12
81,476669,53
82,476669,10752
83,476669,9648
84,425909,14
85,425909,35
86,425909,12
87,1865,12
88,1865,28
89,1865,14
90,459151,16
91,459151,35
92,459151,12
93,459151,10751
94,58,12
95,58,14
96,58,28
97,585245,10751
98,585245,12
99,585245,35
100,585245,14
101,299536,12
102,299536,28
103,299536,878
104,624860,878
105,624860,28
106,624860,12
107,22,12
108,22,14
109,22,28
110,512195,28
111,512195,35
112,512195,80
113,512195,53
114,337404,35
115,337404,80
116,337404,12
117,460465,28
118,460465,14
119,460465,12
120,285,12
121,285,14
122,285,28
123,270303,27
124,270303,9648
125,550988,35
126,550988,28
127,550988,12
128,550988,878
129,597208,80
130,597208,18
131,597208,53
132,508943,16
133,508943,35
134,508943,10751
135,508943,14
136,385128,28
137,385128,80
138,385128,53
139,385128,12
140,423108,27
141,423108,9648
142,423108,53
143,436969,28
144,436969,12
145,436969,14
146,532710,53
147,532710,14
148,532710,27
149,399566,28
150,399566,14
151,399566,878
152,299534,12
153,299534,878
154,299534,28
155,522016,28
156,522016,53
157,482321,16
158,482321,878
159,482321,10751
160,482321,35
161,810693,16
162,810693,28
163,810693,12
164,810693,9648
165,438631,878
166,438631,12
167,497698,28
168,497698,12
169,497698,878
170,751237,27
171,751237,9648
172,615457,28
173,615457,80
174,615457,53
175,451048,28
176,451048,12
177,451048,14
178,24428,878
179,24428,28
180,24428,12
181,791373,28
182,791373,12
183,791373,14
184,791373,878
185,744275,10749
186,744275,18
187,303857,28
188,303857,16
189,303857,878
190,615904,10749
191,615904,35
192,615904,10402
193,166426,12
194,166426,28
195,166426,14
196,505026,80
197,505026,18
198,505026,9648
199,505026,53
200,379686,10751
201,379686,16
202,379686,35
203,379686,878
204,916740,53
205,916740,9648
206,916740,18
207,631843,53
208,631843,9648
209,631843,27
210,522402,878
211,522402,18
212,522402,12
213,527774,16
214,527774,10751
215,527774,14
216,527774,28
217,527774,12
218,14836,16
219,14836,10751
220,14836,14
221,523936,27
222,523936,878
223,523936,18
224,523936,53
225,588228,28
226,588228,878
227,588228,12
228,671,12
229,671,14
230,259316,28
231,259316,12
232,259316,14
233,639721,16
234,639721,12
235,639721,35
236,639721,10751
237,745881,27
238,745881,53
239,765119,35
240,198663,28
241,198663,9648
242,198663,878
243,198663,53
244,1930,28
245,1930,12
246,1930,14
247,482373,53
248,482373,27
249,99861,28
250,99861,12
251,99861,878
252,370172,12
253,370172,28
254,370172,53
255,458576,28
256,458576,14
257,458576,12
258,507086,12
259,507086,28
260,507086,878
261,507086,53
262,602223,27
263,602223,28
264,602223,53
265,610253,27
266,610253,53
267,106646,80
268,106646,18
269,106646,35
270,756403,16
271,756403,14
272,756403,10402
273,756403,12
274,756403,35
275,756403,10751
276,324786,18
277,324786,36
278,324786,10752
279,661231,10752
280,661231,36
281,661231,18
282,354912,10751
283,354912,16
284,354912,14
285,354912,10402
286,354912,35
287,354912,12
288,674,12
289,674,14
290,674,10751
291,763164,28
292,763164,53
293,763164,878
294,617653,28
295,617653,18
296,617653,36
297,13811,28
298,13811,9648
299,13811,878
300,13811,53
301,361743,28
302,361743,18
303,338952,28
304,338952,12
305,338952,14
306,474350,27
307,474350,14
308,672,12
309,672,14
310,821427,18
311,821427,53
312,568620,28
313,568620,12
314,126963,16
315,126963,28
316,126963,878
317,293660,28
318,293660,12
319,293660,35
320,50014,18
321,862,16
322,862,12
323,862,10751
324,862,35
325,464052,28
326,464052,12
327,464052,14
328,767,12
329,767,14
330,673,12
331,673,14
332,571891,16
333,571891,12
334,571891,14
335,571891,28
336,571891,10751
337,520763,878
338,520763,53
339,520763,27
340,539885,28
341,539885,80
342,539885,18
343,539885,53
344,591120,28
345,591120,12
346,591120,35
347,591120,36
348,118,12
349,118,35
350,118,10751
351,118,14
352,315635,28
353,315635,12
354,315635,878
355,315635,18
356,8587,10751
357,8587,16
358,8587,18
359,508442,16
360,508442,35
361,508442,14
362,508442,10751
363,10138,12
364,10138,28
365,10138,878
366,135397,28
367,135397,12
368,135397,878
369,135397,53
370,429617,28
371,429617,12
372,429617,878
373,511809,18
374,511809,10749
375,511809,80
376,138843,27
377,138843,53
378,587807,35
379,587807,10751
380,587807,16
381,597,18
382,597,10749
383,372058,10749
384,372058,16
385,372058,18
386,808,16
387,808,35
388,808,14
389,808,12
390,808,10751
391,12445,14
392,12445,12
393,675,12
394,675,14
395,675,9648
396,284053,28
397,284053,12
398,284053,14
399,284053,878
400,585,16
401,585,35
402,585,10751
403,531219,10751
404,531219,14
405,531219,12
406,531219,35
407,531219,27
408,271110,12
409,271110,28
410,271110,878
411,809,16
412,809,10751
413,809,35
414,809,14
415,809,12
416,537915,10749
417,537915,18
418,571265,16
419,571265,28
420,571265,53
421,571265,12
422,571265,14
423,24021,12
424,24021,14
425,24021,18
426,24021,10749
427,335983,878
428,335983,28
429,12444,12
430,12444,14
431,631132,16
432,631132,12
433,631132,28
434,631132,14
435,330457,10751
436,330457,16
437,330457,12
438,330457,35
439,330457,14
440,102382,28
441,102382,12
442,102382,14
443,744,28
444,744,18
445,744,12
446,259693,27
447,259693,53
448,623135,35
449,623135,18
450,177572,12
451,177572,10751
452,177572,16
453,177572,28
454,177572,35
455,351286,28
456,351286,12
457,351286,878
458,337401,12
459,337401,14
460,337401,18
461,447404,28
462,447404,12
463,447404,14
464,384018,28
465,384018,12
466,384018,35
467,10195,12
468,10195,14
469,10195,28
470,383498,28
471,383498,35
472,383498,12
473,801604,28
474,337339,28
475,337339,80
476,337339,53
477,122917,28
478,122917,12
479,122917,14
480,216015,18
